GeneID,log2(FC)M2,P-valueM2,P-adjM2,log2(FC)M4,P-valueM4,P-adjM4
ENSG00000232299,NA,NA,NA,NA,NA,NA
ENSG00000232300,NA,NA,NA,NA,NA,NA
ENSG00000232301,0.062226119,0.726198416,0.917136836,0.482863164,3.76E-05,0.001541748
ENSG00000232302,NA,NA,NA,NA,NA,NA
ENSG00000232303,-0.011911674,0.782043764,NA,NA,NA,NA
ENSG00000232305,NA,NA,NA,NA,NA,NA
ENSG00000232306,NA,NA,NA,NA,NA,NA
ENSG00000232307,NA,NA,NA,NA,NA,NA
ENSG00000232308,NA,NA,NA,NA,NA,NA
ENSG00000232309,NA,NA,NA,NA,NA,NA
ENSG00000232310,NA,NA,NA,NA,NA,NA
ENSG00000232311,0.035774686,0.488978856,NA,-0.013654763,0.744825987,NA
ENSG00000232312,NA,NA,NA,NA,NA,NA
ENSG00000232314,NA,NA,NA,NA,NA,NA
ENSG00000232316,NA,NA,NA,NA,NA,NA
ENSG00000232320,0.082967059,0.718622255,0.914739713,-0.076926268,0.652214826,0.871923521
ENSG00000232324,NA,NA,NA,-0.006362426,0.824428122,NA
ENSG00000232325,-0.00783505,0.957459206,NA,-0.075820715,0.56064341,NA
ENSG00000232326,NA,NA,NA,NA,NA,NA
ENSG00000232327,NA,NA,NA,NA,NA,NA
ENSG00000232328,NA,NA,NA,NA,NA,NA
ENSG00000232331,NA,NA,NA,NA,NA,NA
ENSG00000232332,-0.049256063,0.780073736,NA,-0.053010638,0.696955989,NA
ENSG00000232333,-0.011911674,0.782043764,NA,0.027923917,0.551668968,NA
ENSG00000232334,0.012946606,0.763648132,NA,0.007156764,0.802934389,NA
ENSG00000232335,NA,NA,NA,NA,NA,NA
ENSG00000232336,NA,NA,NA,NA,NA,NA
ENSG00000232337,NA,NA,NA,NA,NA,NA
ENSG00000232339,NA,NA,NA,NA,NA,NA
ENSG00000232341,-0.011911674,0.782043764,NA,-0.018386546,0.587550451,NA
ENSG00000232342,-0.011911674,0.782043764,NA,0.000581742,0.986605352,NA
ENSG00000232343,NA,NA,NA,NA,NA,NA
ENSG00000232344,NA,NA,NA,0.030247525,0.700387751,NA
ENSG00000232345,NA,NA,NA,NA,NA,NA
ENSG00000232346,0.261573988,0.084571019,0.420064076,-0.037542501,0.707071993,0.893691553
ENSG00000232347,NA,NA,NA,NA,NA,NA
ENSG00000232348,NA,NA,NA,NA,NA,NA
ENSG00000232349,NA,NA,NA,NA,NA,NA
ENSG00000232350,NA,NA,NA,NA,NA,NA
ENSG00000232351,NA,NA,NA,NA,NA,NA
ENSG00000232352,-0.000140968,0.998483005,NA,0.031185735,0.531450338,NA
